X,Y,Layer1
77.5,34.5,3.9648488
78.0,34.5,5.7235575
75.0,34.0,1.9971478
75.5,34.0,4.67185
76.0,34.0,5.367325
76.5,34.0,5.2521405
77.0,34.0,4.617693
77.5,34.0,3.7995114
78.0,34.0,4.9541326
74.5,33.5,2.533437
75.0,33.5,2.4121008
75.5,33.5,2.7289817
76.0,33.5,3.5829551
76.5,33.5,4.939169
77.0,33.5,4.818395
77.5,33.5,5.315007
78.0,33.5,5.408298
78.5,33.5,6.4838243
75.0,33.0,2.722839
75.5,33.0,2.480008
76.0,33.0,2.3683288
76.5,33.0,3.5241122
77.0,33.0,5.522086
77.5,33.0,5.9153585
78.0,33.0,5.9813285
78.5,33.0,5.65923
76.0,32.5,1.9945463
76.5,32.5,3.0596092
77.0,32.5,3.9093215
77.5,32.5,5.1609297
78.0,32.5,5.767212
76.0,32.0,2.2913425
76.5,32.0,1.9445009
77.0,32.0,2.0430744
77.5,32.0,3.2643073
78.0,32.0,5.093533
75.0,31.5,3.065908
75.5,31.5,3.060214
76.0,31.5,3.1101525
76.5,31.5,2.3866715
77.0,31.5,2.1625853
77.5,31.5,2.368142
78.0,31.5,3.361243
75.0,31.0,3.2517557
75.5,31.0,3.4906843
76.0,31.0,3.4956734
76.5,31.0,3.1778345
77.0,31.0,2.6893559
77.5,31.0,2.5236826
78.0,31.0,1.9440193
78.5,31.0,2.8494112
74.5,30.5,3.3692281
75.0,30.5,3.518605
75.5,30.5,3.724575
76.0,30.5,3.7923527
76.5,30.5,3.8970273
77.0,30.5,3.7803426
77.5,30.5,2.570095
78.0,30.5,2.0486012
78.5,30.5,1.8188014
79.0,30.5,1.7873756
79.5,30.5,2.2618308
74.5,30.0,3.5272672
75.0,30.0,3.662298
75.5,30.0,3.880025
76.0,30.0,3.873096
76.5,30.0,3.9648798
77.0,30.0,4.175233
77.5,30.0,3.5343692
78.0,30.0,2.5893009
78.5,30.0,2.541788
79.0,30.0,2.075331
79.5,30.0,1.9483883
80.0,30.0,1.6749834
74.0,29.5,3.620668
74.5,29.5,3.5005906
75.0,29.5,3.538
75.5,29.5,3.65697
76.0,29.5,3.7174957
76.5,29.5,3.830073
77.0,29.5,3.9990208
77.5,29.5,3.9173684
78.0,29.5,3.6143117
78.5,29.5,3.2638967
79.0,29.5,2.7336333
79.5,29.5,2.3496218
73.5,29.0,3.937829
74.0,29.0,3.6196241
74.5,29.0,3.4367778
75.0,29.0,3.488178
75.5,29.0,3.565689
76.0,29.0,3.5661676
76.5,29.0,3.577802
77.0,29.0,3.7542017
77.5,29.0,3.877607
78.0,29.0,3.9303305
78.5,29.0,3.901918
79.0,29.0,3.78057
79.5,29.0,3.304936
73.0,28.5,4.191095
73.5,28.5,4.0292645
74.0,28.5,3.650029
74.5,28.5,3.5277886
75.0,28.5,3.5558152
75.5,28.5,3.5888624
76.0,28.5,3.5503683
76.5,28.5,3.3427207
77.0,28.5,3.398049
77.5,28.5,3.652284
78.0,28.5,3.9496093
78.5,28.5,4.035244
79.0,28.5,4.0538335
79.5,28.5,3.972726
80.0,28.5,3.4568903
94.5,28.5,1.9394311
95.0,28.5,1.7637765
95.5,28.5,2.0373108
96.0,28.5,1.7912457
72.5,28.0,4.261737
73.0,28.0,4.1967864
73.5,28.0,3.8862035
74.0,28.0,3.8324602
74.5,28.0,3.774274
75.0,28.0,3.6747227
75.5,28.0,3.7115395
76.0,28.0,3.5936522
76.5,28.0,3.3826277
77.0,28.0,3.4050374
77.5,28.0,3.5910032
78.0,28.0,3.8288007
78.5,28.0,3.9655695
79.0,28.0,4.051612
79.5,28.0,4.1111736
80.0,28.0,3.841934
80.5,28.0,3.4142222
81.0,28.0,3.314111
93.5,28.0,1.1977544
94.0,28.0,1.5794857
94.5,28.0,1.6931274
95.0,28.0,1.7958556
95.5,28.0,1.5843238
96.0,28.0,1.2908705
96.5,28.0,1.6744192
71.5,27.5,4.181409
72.0,27.5,4.324667
72.5,27.5,4.111247
73.0,27.5,4.0384393
73.5,27.5,3.8520753
74.0,27.5,3.823148
74.5,27.5,3.9249809
75.0,27.5,4.0008516
75.5,27.5,3.845873
76.0,27.5,3.684398
76.5,27.5,3.286869
77.0,27.5,3.1644692
77.5,27.5,3.3269093
78.0,27.5,3.6038902
78.5,27.5,3.8199942
79.0,27.5,3.9553993
79.5,27.5,4.069023
80.0,27.5,3.866614
80.5,27.5,3.616691
81.0,27.5,3.6317425
81.5,27.5,3.7097995
82.0,27.5,3.8580441
88.5,27.5,1.4665592
92.5,27.5,1.9428828
93.0,27.5,1.4612492
93.5,27.5,1.7940578
94.0,27.5,1.7960838
94.5,27.5,1.9572628
95.0,27.5,1.8959808
95.5,27.5,1.5873221
70.0,27.0,4.710941
70.5,27.0,4.659125
71.0,27.0,4.520391
71.5,27.0,4.341902
72.0,27.0,4.3710175
72.5,27.0,4.2704096
73.0,27.0,4.3032823
73.5,27.0,4.3555326
74.0,27.0,4.1213517
74.5,27.0,4.279443
75.0,27.0,4.180569
75.5,27.0,3.971039
76.0,27.0,3.7459488
76.5,27.0,3.352007
77.0,27.0,3.3085706
77.5,27.0,3.460976
78.0,27.0,3.5648782
78.5,27.0,3.7358062
79.0,27.0,3.9600143
79.5,27.0,4.0701156
80.0,27.0,3.9097726
80.5,27.0,3.7751956
81.0,27.0,3.8010702
81.5,27.0,4.018383
82.0,27.0,4.0681667
82.5,27.0,4.120607
83.0,27.0,4.104355
83.5,27.0,3.992912
84.0,27.0,3.7797754
88.5,27.0,1.7827432
92.5,27.0,2.0222383
93.0,27.0,2.0406644
93.5,27.0,2.2060113
94.0,27.0,2.3349576
94.5,27.0,2.3930352
95.0,27.0,1.859595
70.5,26.5,4.536875
71.0,26.5,4.5372705
71.5,26.5,4.5134215
72.0,26.5,4.3415203
72.5,26.5,4.3136353
73.0,26.5,4.448316
73.5,26.5,4.3444324
74.0,26.5,4.291338
74.5,26.5,4.508302
75.0,26.5,4.185188
75.5,26.5,3.7337253
76.0,26.5,3.6514597
76.5,26.5,3.3657331
77.0,26.5,3.508904
77.5,26.5,3.443127
78.0,26.5,3.6199741
78.5,26.5,3.6450934
79.0,26.5,3.654695
79.5,26.5,3.8576777
80.0,26.5,3.7714438
80.5,26.5,3.6421387
81.0,26.5,3.8061059
81.5,26.5,3.9376254
82.0,26.5,4.0213666
82.5,26.5,4.09368
83.0,26.5,4.120922
83.5,26.5,4.168289
84.0,26.5,4.073329
84.5,26.5,3.9157093
85.0,26.5,3.825418
90.5,26.5,2.6323893
91.0,26.5,2.9400167
91.5,26.5,3.1395829
92.0,26.5,3.1433501
92.5,26.5,2.8571134
93.0,26.5,2.7073588
93.5,26.5,2.376453
94.0,26.5,2.3541818
94.5,26.5,2.138513
70.5,26.0,4.3146186
71.0,26.0,4.313843
71.5,26.0,4.1817236
72.0,26.0,4.203216
72.5,26.0,4.269453
73.0,26.0,4.2784853
73.5,26.0,4.1707997
74.0,26.0,4.6501465
74.5,26.0,4.296684
75.0,26.0,3.862471
75.5,26.0,3.8086512
76.0,26.0,3.678027
76.5,26.0,3.2601922
77.0,26.0,3.250934
77.5,26.0,3.536093
78.0,26.0,3.6650732
78.5,26.0,3.4845047
79.0,26.0,3.448066
79.5,26.0,3.529677
80.0,26.0,3.5371528
80.5,26.0,3.4758956
81.0,26.0,3.558212
81.5,26.0,3.6674602
82.0,26.0,3.7326925
82.5,26.0,3.806638
83.0,26.0,3.8917472
83.5,26.0,4.0260754
84.0,26.0,4.071933
84.5,26.0,3.9682157
85.0,26.0,3.9960651
85.5,26.0,3.9879184
86.0,26.0,4.045428
86.5,26.0,4.0766106
87.0,26.0,3.8836796
87.5,26.0,3.8283086
