X,Y,Layer1
77.5,34.5,4.911283
78.0,34.5,7.216418
75.0,34.0,2.4162438
75.5,34.0,5.4819365
76.0,34.0,6.4558983
76.5,34.0,6.5280232
77.0,34.0,5.5440183
77.5,34.0,4.667227
78.0,34.0,6.199012
74.5,33.5,3.1046438
75.0,33.5,2.928413
75.5,33.5,3.2765439
76.0,33.5,4.0909204
76.5,33.5,6.0695252
77.0,33.5,5.9221554
77.5,33.5,6.5569577
78.0,33.5,6.757754
78.5,33.5,8.208373
75.0,33.0,3.3712325
75.5,33.0,3.021609
76.0,33.0,2.7365286
76.5,33.0,4.0783644
77.0,33.0,6.919493
77.5,33.0,7.3769865
78.0,33.0,7.6064444
78.5,33.0,7.117832
76.0,32.5,2.4504597
76.5,32.5,3.439427
77.0,32.5,4.608896
77.5,32.5,6.4563727
78.0,32.5,7.259493
76.0,32.0,2.974472
76.5,32.0,2.4317136
77.0,32.0,2.39995
77.5,32.0,3.9067953
78.0,32.0,6.3808103
75.0,31.5,4.1089396
75.5,31.5,4.186265
76.0,31.5,4.119174
76.5,31.5,3.1360946
77.0,31.5,2.7243252
77.5,31.5,2.7888997
78.0,31.5,3.8564172
75.0,31.0,4.3568673
75.5,31.0,4.7108154
76.0,31.0,4.7085037
76.5,31.0,4.2545986
77.0,31.0,3.5232055
77.5,31.0,3.1782436
78.0,31.0,2.3348913
78.5,31.0,3.3490593
74.5,30.5,4.506788
75.0,30.5,4.710258
75.5,30.5,5.0114017
76.0,30.5,5.1149135
76.5,30.5,5.2577066
77.0,30.5,5.070737
77.5,30.5,3.3244832
78.0,30.5,2.573087
78.5,30.5,2.2350364
79.0,30.5,2.0990868
79.5,30.5,2.5243769
74.5,30.0,4.752104
75.0,30.0,4.92958
75.5,30.0,5.2357917
76.0,30.0,5.2354636
76.5,30.0,5.3560348
77.0,30.0,5.657926
77.5,30.0,4.800251
78.0,30.0,3.4485269
78.5,30.0,3.1747944
79.0,30.0,2.6560075
79.5,30.0,2.4246466
80.0,30.0,1.922619
74.0,29.5,4.8601346
74.5,29.5,4.724445
75.0,29.5,4.7943993
75.5,29.5,4.965374
76.0,29.5,5.04628
76.5,29.5,5.180628
77.0,29.5,5.4320745
77.5,29.5,5.3235717
78.0,29.5,4.8314457
78.5,29.5,4.3487315
79.0,29.5,3.5817554
79.5,29.5,3.0058007
73.5,29.0,5.2628365
74.0,29.0,4.8755803
74.5,29.0,4.655723
75.0,29.0,4.73179
75.5,29.0,4.846887
76.0,29.0,4.878092
76.5,29.0,4.87023
77.0,29.0,5.0910316
77.5,29.0,5.2732906
78.0,29.0,5.3107095
78.5,29.0,5.280669
79.0,29.0,5.1324534
79.5,29.0,4.4770794
73.0,28.5,5.6245017
73.5,28.5,5.428181
74.0,28.5,4.9762344
74.5,28.5,4.7857337
75.0,28.5,4.8337374
75.5,28.5,4.9401793
76.0,28.5,4.917926
76.5,28.5,4.587664
77.0,28.5,4.676266
77.5,28.5,4.9971304
78.0,28.5,5.3605275
78.5,28.5,5.5010495
79.0,28.5,5.537554
79.5,28.5,5.428723
80.0,28.5,4.6766725
94.5,28.5,2.2175891
95.0,28.5,2.0869265
95.5,28.5,2.3123202
96.0,28.5,1.924774
72.5,28.0,5.7643967
73.0,28.0,5.670854
73.5,28.0,5.295627
74.0,28.0,5.1943655
74.5,28.0,5.112146
