X,Y,Layer1
77.5,34.5,3.2418842
78.0,34.5,4.7400455
75.0,34.0,1.5013659
75.5,34.0,4.0432057
76.0,34.0,4.62469
76.5,34.0,4.358639
77.0,34.0,3.999374
77.5,34.0,3.0651484
78.0,34.0,4.0351424
74.5,33.5,1.9567409
75.0,33.5,1.8856379
75.5,33.5,2.165312
76.0,33.5,3.1122208
76.5,33.5,4.1487184
77.0,33.5,4.049159
77.5,33.5,4.4132543
78.0,33.5,4.370531
78.5,33.5,5.155013
75.0,33.0,1.9901613
75.5,33.0,1.8838947
76.0,33.0,1.9780023
76.5,33.0,3.1195145
77.0,33.0,4.6008973
77.5,33.0,4.8787436
78.0,33.0,4.669444
78.5,33.0,4.354881
76.0,32.5,1.522493
76.5,32.5,2.734622
77.0,32.5,3.4197547
77.5,32.5,4.2393403
78.0,32.5,4.7408214
76.0,32.0,1.4751009
76.5,32.0,1.371647
77.0,32.0,1.6527824
77.5,32.0,2.7672045
78.0,32.0,4.2348485
75.0,31.5,2.1318939
75.5,31.5,2.1233082
76.0,31.5,2.0811744
76.5,31.5,1.5408921
77.0,31.5,1.6174449
77.5,31.5,1.9282181
78.0,31.5,2.8668444
75.0,31.0,2.2733347
75.5,31.0,2.4332314
76.0,31.0,2.409494
76.5,31.0,2.1521323
77.0,31.0,1.8243268
77.5,31.0,1.9446676
78.0,31.0,1.4997134
78.5,31.0,2.4144428
74.5,30.5,2.3494263
75.0,30.5,2.4471085
75.5,30.5,2.589028
76.0,30.5,2.6388612
76.5,30.5,2.6987932
77.0,30.5,2.566058
77.5,30.5,1.7990704
78.0,30.5,1.5273542
78.5,30.5,1.4058632
79.0,30.5,1.4265435
79.5,30.5,1.9759051
74.5,30.0,2.457786
75.0,30.0,2.5430179
75.5,30.0,2.702301
76.0,30.0,2.6991205
76.5,30.0,2.7654495
77.0,30.0,2.9131472
77.5,30.0,2.4413671
78.0,30.0,1.7141309
78.5,30.0,1.900808
79.0,30.0,1.5420799
79.5,30.0,1.4511439
80.0,30.0,1.401096
74.0,29.5,2.5187953
74.5,29.5,2.431747
75.0,29.5,2.4555514
75.5,29.5,2.546356
76.0,29.5,2.587057
76.5,29.5,2.6665242
77.0,29.5,2.7782712
77.5,29.5,2.7279086
78.0,29.5,2.5256805
78.5,29.5,2.2230525
79.0,29.5,1.8610989
79.5,29.5,1.6777488
73.5,29.0,2.6369107
74.0,29.0,2.3612874
74.5,29.0,2.266011
75.0,29.0,2.3553405
75.5,29.0,2.4327216
76.0,29.0,2.4673576
76.5,29.0,2.4822364
77.0,29.0,2.5983577
77.5,29.0,2.686148
78.0,29.0,2.7473717
78.5,29.0,2.724769
79.0,29.0,2.6314034
79.5,29.0,2.2395723
73.0,28.5,2.7505872
73.5,28.5,2.6711183
74.0,28.5,2.3795936
74.5,28.5,2.3167253
75.0,28.5,2.4076793
75.5,28.5,2.4486883
76.0,28.5,2.4459617
76.5,28.5,2.2991452
77.0,28.5,2.2432935
77.5,28.5,2.459376
78.0,28.5,2.7632983
78.5,28.5,2.8236222
79.0,28.5,2.839391
79.5,28.5,2.7729723
80.0,28.5,2.3548849
94.5,28.5,1.3312236
95.0,28.5,1.2356795
95.5,28.5,1.4561039
96.0,28.5,1.3623818
72.5,28.0,2.803119
73.0,28.0,2.7651448
73.5,28.0,2.554709
74.0,28.0,2.5554469
74.5,28.0,2.5372062
75.0,28.0,2.472615
75.5,28.0,2.546988
76.0,28.0,2.4655159
76.5,28.0,2.3195086
77.0,28.0,2.337546
77.5,28.0,2.4987602
78.0,28.0,2.6726983
78.5,28.0,2.7697508
79.0,28.0,2.8268945
79.5,28.0,2.8754742
80.0,28.0,2.6885362
80.5,28.0,2.360346
81.0,28.0,2.320609
93.5,28.0,0.8128315
94.0,28.0,1.0633738
94.5,28.0,1.127431
95.0,28.0,1.1932424
95.5,28.0,1.0459017
96.0,28.0,0.8724215
96.5,28.0,1.2536553
71.5,27.5,2.7647073
72.0,27.5,2.8446894
72.5,27.5,2.7108555
73.0,27.5,2.6454396
73.5,27.5,2.5206287
74.0,27.5,2.5474908
74.5,27.5,2.662541
75.0,27.5,2.7519622
75.5,27.5,2.6525798
76.0,27.5,2.490704
76.5,27.5,2.2081606
77.0,27.5,2.1678984
77.5,27.5,2.288416
78.0,27.5,2.4962766
78.5,27.5,2.657921
79.0,27.5,2.7541847
79.5,27.5,2.840231
80.0,27.5,2.6936128
80.5,27.5,2.5227027
81.0,27.5,2.5446243
81.5,27.5,2.6109884
82.0,27.5,2.6968203
88.5,27.5,1.1839288
92.5,27.5,1.4039972
93.0,27.5,0.9521165
93.5,27.5,1.070782
94.0,27.5,1.188909
94.5,27.5,1.3202631
95.0,27.5,1.3085986
95.5,27.5,1.0254515
70.0,27.0,3.1766198
70.5,27.0,3.0925524
71.0,27.0,2.9898708
71.5,27.0,2.851998
72.0,27.0,2.8907208
72.5,27.0,2.8068788
73.0,27.0,2.8687425
73.5,27.0,2.9535444
74.0,27.0,2.7939823
74.5,27.0,2.9142468
75.0,27.0,2.8838983
75.5,27.0,2.7251174
76.0,27.0,2.497315
76.5,27.0,2.2671313
77.0,27.0,2.258697
77.5,27.0,2.3630362
78.0,27.0,2.4353516
78.5,27.0,2.5508914
79.0,27.0,2.7474988
79.5,27.0,2.8312407
80.0,27.0,2.724586
80.5,27.0,2.6341627
81.0,27.0,2.6223679
81.5,27.0,2.8304198
82.0,27.0,2.852035
82.5,27.0,2.8856034
83.0,27.0,2.8785744
83.5,27.0,2.7674966
84.0,27.0,2.6428866
88.5,27.0,1.2694584
92.5,27.0,1.3601104
93.0,27.0,1.3202082
93.5,27.0,1.4808203
94.0,27.0,1.6205544
94.5,27.0,1.6458386
95.0,27.0,1.2380205
70.5,26.5,2.9731288
71.0,26.5,2.9687302
71.5,26.5,2.9607766
72.0,26.5,2.8494067
72.5,26.5,2.8436759
73.0,26.5,3.023167
73.5,26.5,2.9416196
74.0,26.5,2.918204
74.5,26.5,3.0847914
75.0,26.5,2.8649065
75.5,26.5,2.5611122
76.0,26.5,2.495209
76.5,26.5,2.2995582
77.0,26.5,2.3646982
77.5,26.5,2.3365128
78.0,26.5,2.4922101
78.5,26.5,2.5003552
79.0,26.5,2.487435
79.5,26.5,2.6669767
80.0,26.5,2.604021
80.5,26.5,2.5125463
81.0,26.5,2.6553361
81.5,26.5,2.7577612
82.0,26.5,2.816638
82.5,26.5,2.8829067
83.0,26.5,2.8922033
83.5,26.5,2.9225965
84.0,26.5,2.8528314
84.5,26.5,2.7626352
85.0,26.5,2.6951716
90.5,26.5,1.7429209
91.0,26.5,1.9844433
91.5,26.5,2.1379151
92.0,26.5,2.1886446
92.5,26.5,1.9976414
93.0,26.5,1.8213726
93.5,26.5,1.5181757
94.0,26.5,1.5759017
94.5,26.5,1.414695
70.5,26.0,2.8278556
71.0,26.0,2.8054423
71.5,26.0,2.719769
72.0,26.0,2.739862
72.5,26.0,2.857637
73.0,26.0,2.8684227
73.5,26.0,2.8138776
74.0,26.0,3.1997483
74.5,26.0,2.9564712
75.0,26.0,2.6625588
75.5,26.0,2.6507292
76.0,26.0,2.5236378
76.5,26.0,2.2143114
77.0,26.0,2.1173637
77.5,26.0,2.3758192
78.0,26.0,2.5034618
78.5,26.0,2.4056704
79.0,26.0,2.365828
79.5,26.0,2.421217
80.0,26.0,2.4369075
80.5,26.0,2.4196687
81.0,26.0,2.4811623
81.5,26.0,2.5728905
82.0,26.0,2.6131835
82.5,26.0,2.6668456
83.0,26.0,2.7246346
83.5,26.0,2.8220665
84.0,26.0,2.8634286
84.5,26.0,2.8098044
85.0,26.0,2.8520849
85.5,26.0,2.840559
86.0,26.0,2.891815
86.5,26.0,2.9476528
87.0,26.0,2.7217398
87.5,26.0,2.6780126
90.5,26.0,2.0581458
91.0,26.0,1.9718287
91.5,26.0,1.6029359
92.0,26.0,1.5809282
92.5,26.0,1.45575
93.0,26.0,1.1872636
93.5,26.0,1.5196614
94.0,26.0,1.3776422
94.5,26.0,1.4069073
71.5,25.5,2.6961086
72.0,25.5,2.9500043
72.5,25.5,3.049594
73.0,25.5,2.855284
73.5,25.5,2.8539987
74.0,25.5,3.0613642
74.5,25.5,2.6298964
75.0,25.5,2.541293
75.5,25.5,2.6018417
76.0,25.5,2.466095
76.5,25.5,2.2959757
77.0,25.5,2.3532085
77.5,25.5,2.4319198
78.0,25.5,2.4240577
78.5,25.5,2.3718808
79.0,25.5,2.3167696
79.5,25.5,2.3117783
80.0,25.5,2.3648841
80.5,25.5,2.2973952
81.0,25.5,2.3437192
81.5,25.5,2.4227715
82.0,25.5,2.4411552
82.5,25.5,2.485756
83.0,25.5,2.5645766
83.5,25.5,2.7173808
84.0,25.5,2.7515566
84.5,25.5,2.6953812
85.0,25.5,2.6705568
85.5,25.5,2.7951553
86.0,25.5,2.8687897
86.5,25.5,2.9636075
87.0,25.5,2.8801901
87.5,25.5,2.8183165
88.0,25.5,2.7748349
90.5,25.5,1.9148234
91.0,25.5,1.9591352
91.5,25.5,1.6799924
92.0,25.5,1.7436169
92.5,25.5,1.8114703
93.0,25.5,1.425895
93.5,25.5,1.3507601
94.0,25.5,1.5911909
71.5,25.0,2.7623415
72.0,25.0,3.0841434
72.5,25.0,2.950826
73.0,25.0,2.7295058
73.5,25.0,2.7604816
74.0,25.0,2.532979
74.5,25.0,2.5883334
75.0,25.0,2.5759323
75.5,25.0,2.7035465
76.0,25.0,2.6253722
76.5,25.0,2.3948941
77.0,25.0,2.5676317
77.5,25.0,2.5074098
78.0,25.0,2.6159914
