X,Y,Layer1
77.5,34.5,4.5770845
78.0,34.5,6.5873632
75.0,34.0,2.3275993
75.5,34.0,5.262219
76.0,34.0,6.070849
76.5,34.0,6.0338492
77.0,34.0,5.249656
77.5,34.0,4.401895
78.0,34.0,5.722941
74.5,33.5,2.9514987
75.0,33.5,2.7926164
75.5,33.5,3.1338367
76.0,33.5,3.9565997
76.5,33.5,5.6659365
77.0,33.5,5.534327
77.5,33.5,6.1065574
78.0,33.5,6.2425756
78.5,33.5,7.508941
75.0,33.0,3.2172177
75.5,33.0,2.8884144
76.0,33.0,2.6578538
76.5,33.0,3.9275668
77.0,33.0,6.3626966
77.5,33.0,6.8204274
78.0,33.0,6.9768124
78.5,33.0,6.5848603
76.0,32.5,2.3499644
76.5,32.5,3.3400788
77.0,32.5,4.391169
77.5,32.5,5.96112
78.0,32.5,6.6577735
76.0,32.0,2.784828
76.5,32.0,2.317792
77.0,32.0,2.3247962
77.5,32.0,3.6881425
78.0,32.0,5.867757
75.0,31.5,3.679666
75.5,31.5,3.674599
76.0,31.5,3.7558026
76.5,31.5,2.9030716
77.0,31.5,2.5655122
77.5,31.5,2.6653328
78.0,31.5,3.7022083
75.0,31.0,3.8980103
75.5,31.0,4.1857843
76.0,31.0,4.201828
76.5,31.0,3.8334692
77.0,31.0,3.2645903
77.5,31.0,2.9594603
78.0,31.0,2.2215483
78.5,31.0,3.1965563
74.5,30.5,4.0422745
75.0,30.5,4.224331
75.5,30.5,4.471774
76.0,30.5,4.550988
76.5,30.5,4.6812882
77.0,30.5,4.563572
77.5,30.5,3.093456
78.0,30.5,2.4344573
78.5,30.5,2.118739
79.0,30.5,2.046327
79.5,30.5,2.4933548
74.5,30.0,4.232848
75.0,30.0,4.397998
75.5,30.0,4.6562967
76.0,30.0,4.6475096
76.5,30.0,4.7564025
77.0,30.0,5.007796
77.5,30.0,4.246785
78.0,30.0,3.1393607
78.5,30.0,3.0298972
79.0,30.0,2.475218
79.5,30.0,2.2937882
80.0,30.0,1.8998086
74.0,29.5,4.3421283
74.5,29.5,4.201411
75.0,29.5,4.2478623
75.5,29.5,4.3883967
76.0,29.5,4.4620457
76.5,29.5,4.5966554
77.0,29.5,4.800462
77.5,29.5,4.7015057
78.0,29.5,4.33122
78.5,29.5,3.937894
79.0,29.5,3.3169503
79.5,29.5,2.824886
73.5,29.0,4.750321
74.0,29.0,4.3871393
74.5,29.0,4.1573024
75.0,29.0,4.2033415
75.5,29.0,4.291191
76.0,29.0,4.2832828
76.5,29.0,4.2964716
77.0,29.0,4.5070434
77.5,29.0,4.658977
78.0,29.0,4.7101855
78.5,29.0,4.679743
79.0,29.0,4.5371637
79.5,29.0,3.989376
73.0,28.5,5.071809
73.5,28.5,4.8670707
74.0,28.5,4.4227962
74.5,28.5,4.26883
75.0,28.5,4.2811255
75.5,28.5,4.31671
76.0,28.5,4.263875
76.5,28.5,4.0163565
77.0,28.5,4.116605
77.5,28.5,4.406993
78.0,28.5,4.7344065
78.5,28.5,4.8373513
79.0,28.5,4.8589425
79.5,28.5,4.764841
80.0,28.5,4.164857
94.5,28.5,2.1795585
95.0,28.5,2.0211108
95.5,28.5,2.2742991
96.0,28.5,1.9324981
72.5,28.0,5.155006
73.0,28.0,5.0750904
73.5,28.0,4.7032065
74.0,28.0,4.625687
74.5,28.0,4.54989
75.0,28.0,4.4303346
75.5,28.0,4.4595437
76.0,28.0,4.3188725
76.5,28.0,4.065342
77.0,28.0,4.09231
77.5,28.0,4.3072777
78.0,28.0,4.5925913
78.5,28.0,4.7550025
79.0,28.0,4.858458
79.5,28.0,4.92642
80.0,28.0,4.605649
80.5,28.0,4.1029596
81.0,28.0,3.969296
93.5,28.0,1.3573095
94.0,28.0,1.81915
94.5,28.0,2.0090296
95.0,28.0,2.153494
95.5,28.0,1.9106014
96.0,28.0,1.5267855
96.5,28.0,1.8372713
71.5,27.5,5.0530457
72.0,27.5,5.2306485
72.5,27.5,4.971387
73.0,27.5,4.8883576
73.5,27.5,4.664646
74.0,27.5,4.6160107
74.5,27.5,4.7250915
75.0,27.5,4.805536
75.5,27.5,4.617193
76.0,27.5,4.4422903
76.5,27.5,3.9747453
77.0,27.5,3.8032324
77.5,27.5,3.9968514
78.0,27.5,4.324574
78.5,27.5,4.5822544
79.0,27.5,4.744874
79.5,27.5,4.875036
80.0,27.5,4.6367817
80.5,27.5,4.3384852
81.0,27.5,4.353624
81.5,27.5,4.440798
82.0,27.5,4.6247854
88.5,27.5,1.614408
92.5,27.5,2.2293692
93.0,27.5,1.7089256
93.5,27.5,2.1630657
94.0,27.5,2.1402755
94.5,27.5,2.3611643
95.0,27.5,2.2724407
95.5,27.5,1.9300449
70.0,27.0,5.689304
70.5,27.0,5.6279526
71.0,27.0,5.463339
71.5,27.0,5.2538767
72.0,27.0,5.284295
72.5,27.0,5.166446
73.0,27.0,5.1960526
73.5,27.0,5.243941
74.0,27.0,4.9636436
74.5,27.0,5.1469173
75.0,27.0,5.019417
75.5,27.0,4.772436
76.0,27.0,4.5298505
76.5,27.0,4.0395336
77.0,27.0,3.9790125
77.5,27.0,4.1619077
78.0,27.0,4.286765
78.5,27.0,4.4953666
79.0,27.0,4.7525706
79.5,27.0,4.8823614
80.0,27.0,4.6861477
80.5,27.0,4.527235
81.0,27.0,4.569862
81.5,27.0,4.8084126
82.0,27.0,4.87267
82.5,27.0,4.9387217
83.0,27.0,4.914943
83.5,27.0,4.7963514
84.0,27.0,4.526805
88.5,27.0,2.1100504
92.5,27.0,2.4177623
93.0,27.0,2.4607208
93.5,27.0,2.66565
94.0,27.0,2.7953308
94.5,27.0,2.871587
95.0,27.0,2.2500992
70.5,26.5,5.494021
71.0,26.5,5.4922047
71.5,26.5,5.461478
72.0,26.5,5.2536454
72.5,26.5,5.216893
73.0,26.5,5.351945
73.5,26.5,5.231398
74.0,26.5,5.164384
74.5,26.5,5.415905
75.0,26.5,5.029526
75.5,26.5,4.486238
76.0,26.5,4.3891864
76.5,26.5,4.045562
77.0,26.5,4.2281075
77.5,26.5,4.1433816
78.0,26.5,4.346399
78.5,26.5,4.379323
79.0,26.5,4.3976974
79.5,26.5,4.6299314
80.0,26.5,4.5276713
80.5,26.5,4.3752956
81.0,26.5,4.563992
81.5,26.5,4.720335
82.0,26.5,4.8206286
82.5,26.5,4.8995023
83.0,26.5,4.9346824
83.5,26.5,4.9901595
84.0,26.5,4.882614
84.5,26.5,4.680536
85.0,26.5,4.576225
90.5,26.5,3.1846464
91.0,26.5,3.5421445
91.5,26.5,3.7756062
92.0,26.5,3.7602859
92.5,26.5,3.4149406
93.0,26.5,3.259931
93.5,26.5,2.8986225
94.0,26.5,2.8436813
94.5,26.5,2.60304
70.5,26.0,5.2261567
71.0,26.0,5.2274213
71.5,26.0,5.069121
72.0,26.0,5.093934
72.5,26.0,5.152614
73.0,26.0,5.1617827
73.5,26.0,5.02485
74.0,26.0,5.5809183
74.5,26.0,5.1579328
75.0,26.0,4.635211
75.5,26.0,4.5576243
76.0,26.0,4.416192
76.5,26.0,3.9272594
77.0,26.0,3.9475605
77.5,26.0,4.2624254
78.0,26.0,4.4067197
78.5,26.0,4.182923
79.0,26.0,4.1450653
79.5,26.0,4.2407455
80.0,26.0,4.246141
80.5,26.0,4.1667466
81.0,26.0,4.2658043
81.5,26.0,4.393921
82.0,26.0,4.474791
82.5,26.0,4.562522
83.0,26.0,4.665076
83.5,26.0,4.8241305
84.0,26.0,4.872918
84.5,26.0,4.736482
85.0,26.0,4.756971
85.5,26.0,4.7507696
86.0,26.0,4.8101964
86.5,26.0,4.826506
87.0,26.0,4.6551013
87.5,26.0,4.588743
90.5,26.0,3.6673355
91.0,26.0,3.4191391
91.5,26.0,2.8458998
92.0,26.0,2.9819593
92.5,26.0,2.6902804
93.0,26.0,2.1589026
93.5,26.0,2.9208293
94.0,26.0,2.4841793
94.5,26.0,2.302439
71.5,25.5,5.020578
72.0,25.5,5.2751303
72.5,25.5,5.330246
73.0,25.5,5.0562415
73.5,25.5,5.0362263
74.0,25.5,5.340319
74.5,25.5,4.6065965
75.0,25.5,4.410653
75.5,25.5,4.5574727
76.0,25.5,4.3178606
76.5,25.5,3.9711454
77.0,25.5,4.2931194
77.5,25.5,4.4241247
78.0,25.5,4.2835674
78.5,25.5,4.139286
79.0,25.5,4.038357
79.5,25.5,4.0459332
80.0,25.5,4.146892
80.5,25.5,3.9905813
81.0,25.5,4.0510674
81.5,25.5,4.1378126
82.0,25.5,4.1854324
82.5,25.5,4.267003
83.0,25.5,4.408804
83.5,25.5,4.623788
84.0,25.5,4.6952934
84.5,25.5,4.582376
85.0,25.5,4.555912
85.5,25.5,4.6751595
86.0,25.5,4.745569
86.5,25.5,4.8657007
87.0,25.5,4.769944
87.5,25.5,4.7053685
88.0,25.5,4.6997113
90.5,25.5,3.6284504
91.0,25.5,3.7385852
91.5,25.5,3.1511884
92.0,25.5,3.161617
92.5,25.5,3.6139905
93.0,25.5,2.66616
93.5,25.5,2.5740566
94.0,25.5,2.7175782
71.5,25.0,5.008907
72.0,25.0,5.4185886
72.5,25.0,5.1799645
73.0,25.0,4.8195057
73.5,25.0,4.99412
74.0,25.0,4.422283
74.5,25.0,4.50736
75.0,25.0,4.605135
75.5,25.0,4.7872534
76.0,25.0,4.625071
76.5,25.0,4.1765537
77.0,25.0,4.5747924
77.5,25.0,4.4515452
78.0,25.0,4.5830317
78.5,25.0,4.17925
79.0,25.0,4.185254
79.5,25.0,4.166997
80.0,25.0,4.043259
80.5,25.0,4.0443144
81.0,25.0,3.9820044
81.5,25.0,3.9097383
82.0,25.0,3.8841488
82.5,25.0,3.9601505
83.0,25.0,4.144111
83.5,25.0,4.2125106
84.0,25.0,4.324106
84.5,25.0,4.3554997
85.0,25.0,4.3690104
85.5,25.0,4.3807673
86.0,25.0,4.287432
86.5,25.0,4.208741
87.0,25.0,4.1993427
87.5,25.0,4.2933974
93.0,25.0,3.3328927
93.5,25.0,2.6801817
94.0,25.0,3.0420911
71.5,24.5,5.233607
72.0,24.5,5.251781
72.5,24.5,4.672988
73.0,24.5,4.232164
73.5,24.5,4.9234576
74.0,24.5,4.799617
74.5,24.5,4.958239
75.0,24.5,5.3226533
75.5,24.5,5.3112035
76.0,24.5,5.052025
76.5,24.5,4.533597
77.0,24.5,4.694522
77.5,24.5,5.003244
78.0,24.5,4.646936
78.5,24.5,4.382141
79.0,24.5,4.2927856
79.5,24.5,4.250984
80.0,24.5,4.0222063
80.5,24.5,4.134421
81.0,24.5,3.8779156
81.5,24.5,3.9699879
82.0,24.5,3.8353434
82.5,24.5,3.6788876
83.0,24.5,3.5314426
83.5,24.5,3.8815684
84.0,24.5,3.8739862
84.5,24.5,3.9113224
85.0,24.5,4.0214443
85.5,24.5,4.2198257
86.0,24.5,4.269595
86.5,24.5,4.4421806
87.0,24.5,4.432854
87.5,24.5,4.3257947
92.5,24.5,2.8685436
93.0,24.5,2.2468202
93.5,24.5,3.1827104
94.0,24.5,3.3932831
69.0,24.0,6.9778404
71.5,24.0,5.368326
72.0,24.0,5.159019
72.5,24.0,4.9077635
73.0,24.0,4.505588
73.5,24.0,5.353534
74.0,24.0,4.7761393
74.5,24.0,4.6268997
75.0,24.0,5.9246483
75.5,24.0,5.581164
76.0,24.0,5.5255613
76.5,24.0,5.0208254
77.0,24.0,4.9249673
77.5,24.0,5.206488
78.0,24.0,4.768285
78.5,24.0,4.933372
79.0,24.0,4.8539352
79.5,24.0,4.2919044
80.0,24.0,4.4371066
80.5,24.0,4.0975018
81.0,24.0,4.0548816
81.5,24.0,3.8905962
82.0,24.0,3.7644362
82.5,24.0,3.594659
83.0,24.0,3.4104102
83.5,24.0,3.6714191
84.0,24.0,3.3938441
84.5,24.0,3.4881234
85.0,24.0,4.0888333
85.5,24.0,4.382043
86.0,24.0,4.144899
86.5,24.0,4.301328
87.0,24.0,4.384363
87.5,24.0,4.3916907
88.0,24.0,4.585353
92.5,24.0,3.2706552
93.0,24.0,2.8884628
68.5,23.5,6.7083697
69.0,23.5,6.324775
69.5,23.5,6.0648246
70.0,23.5,6.0768514
70.5,23.5,6.0920057
71.0,23.5,6.233414
71.5,23.5,5.7797184
72.0,23.5,5.2380643
72.5,23.5,4.992669
73.0,23.5,4.9388666
73.5,23.5,5.2039614
74.0,23.5,4.9921265
74.5,23.5,4.9438324
75.0,23.5,5.852265
75.5,23.5,5.7390914
76.0,23.5,5.73138
76.5,23.5,5.2197485
77.0,23.5,5.263551
77.5,23.5,5.1573205
78.0,23.5,4.814535
78.5,23.5,4.959413
79.0,23.5,4.7613277
79.5,23.5,4.3273144
80.0,23.5,4.3860126
80.5,23.5,4.281069
81.0,23.5,3.9748216
81.5,23.5,3.798568
82.0,23.5,3.8267097
82.5,23.5,3.9633625
83.0,23.5,3.555092
83.5,23.5,3.7639098
84.0,23.5,3.8363664
84.5,23.5,3.9560394
85.0,23.5,4.484659
85.5,23.5,4.220275
86.0,23.5,3.9958649
86.5,23.5,4.032175
87.0,23.5,4.151392
87.5,23.5,4.350612
88.0,23.5,4.628679
93.0,23.5,3.1316724
68.0,23.0,6.8925767
68.5,23.0,6.7181687
69.0,23.0,6.5196166
69.5,23.0,6.653582
70.0,23.0,6.754429
70.5,23.0,6.333594
71.0,23.0,5.945541
71.5,23.0,5.716792
72.0,23.0,5.197505
72.5,23.0,4.9484634
73.0,23.0,5.1079955
73.5,23.0,5.1136394
74.0,23.0,5.240001
74.5,23.0,5.0740757
75.0,23.0,5.524393
75.5,23.0,5.8032537
76.0,23.0,5.738555
76.5,23.0,5.227121
77.0,23.0,5.0334344
77.5,23.0,4.833003
78.0,23.0,4.6755633
78.5,23.0,4.7645545
79.0,23.0,4.641529
79.5,23.0,4.5552607
80.0,23.0,4.457836
80.5,23.0,4.319544
81.0,23.0,4.1535892
81.5,23.0,4.1002665
82.0,23.0,3.7966137
82.5,23.0,3.4340978
83.0,23.0,3.799746
83.5,23.0,4.1905346
84.0,23.0,3.986261
84.5,23.0,3.9053574
85.0,23.0,3.9929907
85.5,23.0,3.7532132
86.0,23.0,3.4615624
86.5,23.0,4.1707134
87.0,23.0,4.2238326
87.5,23.0,4.4184585
88.0,23.0,4.7436905
68.0,22.5,6.8013906
68.5,22.5,6.545811
69.0,22.5,6.520336
69.5,22.5,6.5936766
70.0,22.5,6.080346
70.5,22.5,5.421187
71.0,22.5,5.598618
71.5,22.5,5.773878
72.0,22.5,5.252063
72.5,22.5,5.421474
73.0,22.5,5.2401013
73.5,22.5,5.218251
74.0,22.5,5.1991725
74.5,22.5,5.4053664
75.0,22.5,5.3605776
75.5,22.5,5.6698003
76.0,22.5,5.1806746
76.5,22.5,4.662854
77.0,22.5,4.735306
77.5,22.5,4.8474956
78.0,22.5,4.2682776
78.5,22.5,4.251719
79.0,22.5,5.0144534
79.5,22.5,5.0838523
80.0,22.5,4.5864305
80.5,22.5,3.7968593
81.0,22.5,3.930426
81.5,22.5,3.7352211
