X,Y,Layer1
94.0,27.0,3.2976038
94.5,27.0,3.3241875
95.0,27.0,2.5883887
70.5,26.5,6.646603
71.0,26.5,6.654002
71.5,26.5,6.597796
72.0,26.5,6.4344287
72.5,26.5,6.331408
73.0,26.5,6.562443
73.5,26.5,6.44605
74.0,26.5,6.4079075
74.5,26.5,6.6600375
75.0,26.5,6.3515534
75.5,26.5,5.770921
76.0,26.5,5.5702615
76.5,26.5,5.200553
77.0,26.5,5.2656164
77.5,26.5,5.2675076
78.0,26.5,5.4601693
78.5,26.5,5.4377065
79.0,26.5,5.481349
79.5,26.5,5.7260556
80.0,26.5,5.4915066
80.5,26.5,5.2793474
81.0,26.5,5.5304127
81.5,26.5,5.7526846
82.0,26.5,5.9014115
82.5,26.5,6.037439
83.0,26.5,6.116216
83.5,26.5,6.187061
84.0,26.5,6.0186715
84.5,26.5,5.768495
85.0,26.5,5.6653643
90.5,26.5,3.7100835
91.0,26.5,4.1188173
91.5,26.5,4.325622
92.0,26.5,4.403274
92.5,26.5,3.894997
93.0,26.5,3.7992992
93.5,26.5,3.4993944
94.0,26.5,3.3951914
94.5,26.5,3.0350149
70.5,26.0,6.441699
71.0,26.0,6.3615985
71.5,26.0,6.2557154
72.0,26.0,6.350283
72.5,26.0,6.3512263
73.0,26.0,6.262589
73.5,26.0,6.1478343
74.0,26.0,6.6899514
74.5,26.0,6.4442887
75.0,26.0,5.897576
75.5,26.0,5.8341537
76.0,26.0,5.6028
76.5,26.0,5.047924
77.0,26.0,5.017222
77.5,26.0,5.3079176
78.0,26.0,5.4543734
78.5,26.0,5.215617
79.0,26.0,5.159814
79.5,26.0,5.270523
80.0,26.0,5.196655
80.5,26.0,5.025857
81.0,26.0,5.1597776
81.5,26.0,5.365404
82.0,26.0,5.4732304
82.5,26.0,5.587324
83.0,26.0,5.7385926
83.5,26.0,5.9365363
84.0,26.0,5.9662356
84.5,26.0,5.815228
85.0,26.0,5.81697
85.5,26.0,5.812443
86.0,26.0,5.8691006
86.5,26.0,5.845166
87.0,26.0,5.7058053
87.5,26.0,5.6314397
90.5,26.0,4.5429816
91.0,26.0,4.1190414
91.5,26.0,3.2847066
92.0,26.0,3.4704216
92.5,26.0,3.1494231
93.0,26.0,2.5039136
93.5,26.0,3.4551332
94.0,26.0,2.8605134
94.5,26.0,2.5977893
71.5,25.5,6.1509395
72.0,25.5,6.533275
72.5,25.5,6.617419
73.0,25.5,6.1754365
73.5,25.5,6.16117
